student_id,first_name,last_name,email,phone,date_of_birth
1,Shane,Schneider,deborahfowler@yahoo.com,2387252913,2000-01-17
2,David,Pittman,underwoodchristopher@walker-adkins.com,001-018-795-7985x2545,1995-05-10
3,Ricardo,Fry,newmanchloe@gmail.com,214.797.7345x50020,2004-10-26
4,Nicholas,Douglas,bryan29@gmail.com,330.913.2282x558,1996-01-06
5,Joshua,Hobbs,terry06@hotmail.com,001-433-035-4103x293,2006-04-24
6,Ryan,Martin,clarkdwayne@gmail.com,001-193-780-0161x90510,2002-01-21
7,Michael,Hicks,whitejustin@yahoo.com,(578)372-5031,2005-11-07
8,Lisa,Wells,nealkevin@davis.biz,001-982-146-8799x71341,2002-01-17
9,Rodney,Singh,thomas79@yahoo.com,727.154.3991x6797,1996-03-16
10,Kathleen,Garcia,markgreen@yahoo.com,001-280-382-2141x5878,1997-06-06
11,Kelly,Barton,ericjohnson@gmail.com,3874304746,2002-08-15
12,Grant,Stone,wrhodes@gmail.com,001-173-520-8850,2001-07-07
13,Amber,Guerrero,bennettmichael@lynn-sloan.biz,001-184-086-1516x8878,2005-11-06
14,Samantha,Ryan,syoung@rodriguez-potts.biz,919.472.3527,1997-02-16
15,Lauren,Burns,kingjulia@lawson.info,0106272470,2002-02-05
16,Kimberly,Harris,rodriguezsharon@harrington.com,(681)621-0098x67798,1997-11-20
17,Michael,Wright,patricia38@rodriguez.com,0654643091,2000-08-07
18,Robert,Wells,kimberlybrown@gmail.com,+1-313-033-2684x078,1999-05-24
19,Kevin,Booth,monica13@hotmail.com,(013)025-9336,2000-04-12
20,Julie,Stewart,kramerchristina@yahoo.com,013.739.2877,1997-11-14
21,Phillip,Silva,laurengutierrez@yahoo.com,001-609-532-1781x995,1996-01-03
22,Karen,Riggs,jasonmercer@hotmail.com,059-598-9512x7567,1999-05-21
23,Kelli,Hanson,pamela58@holmes.net,(587)583-9276,1999-07-15
24,Terry,Jenkins,victorroach@rhodes.net,001-610-150-5137x5921,2002-07-31
25,Brandy,Curry,matthew56@gmail.com,(832)366-6339,2004-11-15
26,Nicole,Charles,griffincourtney@yahoo.com,001-922-032-4451,2001-10-21
27,Dominic,Faulkner,colemanalexander@hotmail.com,1848218494,1995-04-20
28,Travis,Wilkerson,nicolesandoval@yahoo.com,001-456-058-8650x694,1994-06-25
29,Christopher,Miller,pmiller@hotmail.com,(032)774-7808x061,1997-08-12
30,Scott,Miller,ronalddyer@hotmail.com,001-395-986-6096x81279,2000-09-09
31,Kayla,Olson,kyu@guerrero-howard.com,836.880.5788x35153,1999-10-16
32,James,Scott,natasha46@gmail.com,001-734-565-2726x43043,1998-09-26
33,Jonathan,Winters,martha29@wagner.biz,973-021-9331x05264,2004-11-16
34,Alyssa,Stone,tamaraellis@hotmail.com,(584)585-0343,1996-01-02
35,Kevin,May,gravesstephanie@hicks.biz,504-320-1593x68884,2006-03-08
36,Pamela,Stewart,xjohnson@moyer.com,(546)095-0928,2003-11-24
37,Tony,Contreras,fhenry@gmail.com,+1-862-788-8826x5890,1994-08-01
38,Warren,Pitts,kristen63@hotmail.com,001-619-050-0107x482,1997-05-25
39,Nicole,House,melissagomez@yahoo.com,+1-262-185-2351x73037,2002-07-10
40,Jason,Ward,jacksonjoshua@beck.com,0383024890,1999-09-18
41,Logan,Reyes,wendyhall@yahoo.com,+1-345-895-4251x204,1994-02-23
42,Christopher,Harrell,hesterkevin@hotmail.com,001-233-477-6998x96115,1998-02-12
43,Leah,Wong,veronicawallace@yahoo.com,+1-228-948-4408x9972,2001-06-26
